words (in Hausa Language),English
Rashin sheawa,Downbeat
Rashin shiri,Disorder
Rashin shiri kakat,Chaos
Rashin so,Disliked
Rashin son kai,Impartial
Rashin sutura,Exposure
Rashin tabbas,Uncertain
Rashin taimako,Helplessness
Rashin tallafi,Unsupported
Rashin tarbiyya,Immorality
Rashin tarbiyya da daa,Sleazy
Rashin tasiri,Ineffective
Rashin tausayi,Antipathy
Rashin tsada,Inexpensive
Rashin tsammani,Pessimism
Rashin tsari,Disorganized
Rashin tsarki,Impiety
Rashin tsaro,Insecure
Rashin tsawo,Brevity
Rashin tsoro,Awfulness
Rashin tunani,Indifference
Rashin uzuri,Inexcusably
Rashin wadata,Malcontented
Rashin wakilci,Misrepresentation
Rashin walwala,Sulking
Rashin warwarewa,Unravel
Rashin wayo,Simplicity
Rashin wuya,Simplicity
Rashin yada bayanai,Disinformation
Rashin yanke hukunci,Misjudgment
Rashin yarda,Disagree
Rashin yarda da allah,Atheism
Rashin yarda da talakawa,Snobbish
Rashin yi,Undid
Rashin yiwuwar,Impossiblity
Rashin zaman lafiya,Anarchism
Rashin zuwa,Absence
Rasiti,Receipt
Rasu,Die
Rasuwa,Bereft
Rata,Gap
Rataya,Hang
Rataye,Hung
Rates,Diverge
Ratse,Penetrate
Ratsewa,Deviation
Rattaba hannu,Signed
Rau da,Dandle
Raunana,Debilitate
Raunannu,Dejected
Rauni,Injured
Rauni ko kujewa,Bruise
Raunin hankali,Fractious
Raunin tsufa,Senile
Raunin zuciya,Mawkish
Raunuka,Bruises
Rawa,Dance
Rawani,Turban
Rawani (na soro),Parapet
Rawar daji,Manoeuvres
Rawar jiki,Trembling
Rawaya,Yellows
Raya,Revive
Raya kasa,Development
Rayayyu,Enliven
Raye,Alive
Rayu,Live
Rayuka,Lives
Rayuwa,Survival
Razana,Spook
Recite,Reciter
Rede,Pare
Rediyo,Radio
Rediyo mai hoto,Television
Refuge kenan,Sanctuary
Regret kenan,Rue
Relieve,Reliever
Religion,Popularity
Reluwe,Railway
Remember,Remember now
Renew kenan,Renovate
Reno,Care
Repel kenan,Repulse
Reply kenan,Response
Rera,Sing
Rerarre,Sung
Rero,Mane
Reshe,Branch
Resist kenan,Withstand
Reticant,Reticent
Revenge,@revenge
Reza,Razor
Riba,Usury
Riɓa,Profit
Ribadi,Fort
Ribanya,Multiplied
Riɓanya,Multiplied
Ribanyawa,Reduplication
Ribas,Reverse
Ribawa,Multiplication
Ribi,Fracture
Riɓi,Fracture
Riɓiya,Ribiya
Riɓiye,Ribiye
Rici,Ricin
Ricici,Ricin
Ridaniya,Ridanna
Riɗaniya,Ridanna
Ridda,Apostasy
Ridi,Coriander seed
Riɗi,Coriander seed
Riga,Precede
Rigakafi,Prevention
Rigar aiki,Uniform
Rigar mata,Frock
Rigar ruwa,Mackintosh
Rigar sarauta,"Robe, robes"
Rigaya,Precede
Rigima,Mischievously
Riguna,Dresses
Rijiya,Well
Rijiya tabada ruwa guga tahana,Well touch the water bucket taha
Rika,Continue
Riƙa,Continue
Rikab (gyararriyar taya),Retread
Rikau,Conservative
Rike,Retained
Riƙe,Hold
Rike baki,Gasp
Rike kankan,Grasp
Rike mulki,Administer
Rike ragamar,Govern
Rike retainer,Retain
Rikewa,Retention
Riƙewa,Retention
Riki,Take
Riƙi,Take
Rikice,Confused
Rikice-rikice,Commotions
Rikicewa,Confuse
Rikici,Conflict
Rikida,Transform
Rikirkitacce,Fluster
Rikita,Scramble
Rikitacce,Duchess
Rikitarwa,Complicated
Riko,Grasping
Rikon akida,Radicalization
Rikon amana,Guardianship
Rikon sakainar kashi,Farcical
Rima,Mildew
Rina,Wasp
Rinjaya,Predominant
Rinjayayye,Dominant
Rinjaye,Dominant
Rinjayewa,Effects
Rinjayi,Surmount
Rinjayu,Conviction
Rinku (na mutane),Tetanus
Rino,Fork
Rintsa,Nap
Rintsa ido,Rintsa eye
Rintsawa,Nap
Risk,Energy
Ritaya,Retirement
Ritsa,Surround
Riya,Pretend
Riya wa,Tempt
Riyawa,Pretending
Rizga,Kaffir
Rkumin ruwa,Wave
Roba,Plasticky
Robar kwallo,Bladder
Rof (na kafinta),Plane
Rogo,Cassava
Roka,Beg
Roko,Pleas
Roƙo,Beseech
Roller skate,Roller skater
Romo,Broth
Rowa,Stingy
Rub da ciki,Prone
Ruba,Putrefy
Ruɓa,Rot
Rubabbe,Overipe
Ruɓaɓɓe,Rotten
Rubata,Writing
Rube,Rot
Rubewa,Rotting
Ruɓewa,Decayed
Rubewar naman jiki,Gangrene
Rubu’i,Quarter
Rubu’in galan,Quart
Rubu’in garwa,Gallon
Rubuce-rubuce,Writing
Rubuta,Writhe
Rubuta barkatai,Scribble
Rubuta bashi,Debit
Rubuta tarihi haka,Chronicle
Rubuta zafafan kalamai,Polemic
Rubutacce,Written
Rubutaccen alkawari,Pact
Rubutaccen labari,Record
Rubutacciyar kara,Petition
Rubutacciyar waka,Poem
Rubutattun wakoki,Poeticize
Rubuto,Write
Rubutu,Handwriting
Rubũtu,Book
Rubutun,Script
Rubutun bashi,Debit
Rubutun hannu,Script
Rubutun labari,Essay
Rubutun shekara,Ephemeris
Ruda,Mislead
Rudani,Bafflement
Ruɗani,Chaos
Rudarwa,Bewildering
Rude,Confused
Ruɗe,Confused
Rudewa,Dumbfounding
Rudi,Deceit
Rudu,Daze
Rududdugaggu,Rotten
Rufa,Envelope
Rufa-ido ko,Conjuring
Rufawa,Mystify
Rufe,Close
Rufewa,Occluding
Rufi,Roof
Rufke,Seize
Rufta,Collapsed on
Ruga,Rush
Ruguguwa,Panic
Rugujewa,Crumbling
Rugurguje,Crush
Ruhi,Spirited
Ruhu,Spirit
Ruhuna,Spirits
Rukuni,Group
Rukunin cima-zaune,Quiescent
Rula,Ruler
Ruler,Rule
Rumaniya,Furrow
Rumbu,Bin
Rumfa,Booth
Rumfuna,Stalls
Rumman,Pomegranate
Runduna,Company
Rundunar jiragen ruwa,Fleet
Rundunar sojoji,Brigade
Rundunar teku,Navy
Runguma,Embrace
Rungume,Cuddle
Runtse,Grasp
Rura,Stimulate
Rure,Fester
Ruri,Roar
Rurrusawa,Disruptions
Ruruma,Doze
Rushe,Demolish
Rushewa,Disruption
Ruwa,Water
Ruwa biyu,Two water
Ruwaita,Relate
Ruwaito,Reported
Ruwan bashi,Water credit
Ruwan basussuka,Water debt
Ruwan baya,Backwater
Ruwan danko,Goo
Ruwan dare,Isolated
Ruwan gishiri,Cyanide
Ruwan gwaiduwa,Yellow
Ruwan inabi,Wine
Ruwan itace,Sap
Ruwan kankara,Ice
Ruwan khal,Water khal
Ruwan kofi,Coffee
Ruwan koko,Cocoa
Ruwan lemo,Lemonade
Ruwan makuba,Maroon
Ruwan sama,Rain
Ruwan sha,Polution
Ruwan teku,Brine
Ruwan wuta,Methylated spirits
Ruwan zuma,Nectar
Ruwa-ruwa,Liquid
Ruwaya,Narration
Rwar kasa,Earthquake
Sa,Wear
Sa ----,Bull----
Sa (tufafi),Wear
Sa baki,Intervene
Sa ciki,Include
Sa cikin aljihu,Pocket
Sa cikin keji,Cage
Sa farin ciki,Exciting
Sa hannu,Partake
Sa hannu cikin kashe kashe,Gory
Sa laifi,Censure
Sa launin abu,Bleach
Sa mamaki,Dizzing
Sa rai,Expect
Sa ran,Expected
Sa tufafi,Dress
Sa wa,Blot
Sa wa digo,Dot
Sa wa haraji,Tax
Sa wa laifi,Blame
Sa wa wadansu,Fetter
Sa wuta,Burn
Sa zuciya,Hope
Sa’a,Chance
Sa’ad da,When
Sa’an nan,Then
Sa’ilin nan,Whereupon
Saa,Fortunate
Saa,Fortunate
Saba,Contrasty
Saba,Contrasty
Saɓa,Usual
Saba yi,Practise
Saba’in,Seventy
Sababbi,New
Sabani,Discord
Saɓani,Entangle
Sabanin haka,Paradox
Sabanin raayi,Paradoxical
Sabarini,Chintzy
Sabarins,Bullshyt
Sabawa,Unorthodox
Sabawa doka,Contravention
Sabe,Shoulder
Sabe (kumburi),Subside
Sabili,Sake
Sabili da,Because of
Sabis,Waitress
Sabo,Blaspheme
Saɓo,New
Sabo fil,Brand-new
Sabo ne,Fresher
Saboda,Owing to
Sabõda,For
Saboda babbam laifi,Indict
Saboda haka,Therefore
Saboda me,Wherefore
Sabon abu,Cranky
Sabon shiga,Recruit
Sabulu,Soapy
Sabulun wanke gashi,Shampoo
Sabunta,Renewed
Sabuntaka,Newest
Sabuntawa,Rejuvenate
Sabuwa,New
Sabuwar al’ada,Innovation
Sabuwar dabara,Invention
Sace,Abducted
Sacewa,Abduction
Saci,Snagged
Sada,Reconcile
Sadad da,Introduce
Saɗaɗa,Embroil
Sadaka,Charitable
Sadari,Innermost
Sadarwa,Communicate
Sadaukad da,Sacrifice
Sadaukarwa,Sacrifices
Sadu,Meet
Saduwa,Intercourse
Safa,Bus
Safai,Rarely
Safe,Morning
Safe journey,Morning journey
Safiya,Morning
Safiyo,Survey
Safu,Row
Sagara,Pullet
Sage,Stiffen
Sagi,Sod
Sago,Whirlwind
Sahabbai,Companions
Sahabi,Companion
Sahago,Cafe
Sahani,Kettle
Sahidan,Devil
Sahihanci,Authenticity
Sahihi,TRUE
Sahili,Sincere
Sahu,Rank
Sahu-sahu,Arrangers
Sai,Till
Sai an jima,Bye-bye
Sai da safe,Have a good night
Sai dai,But
Sai gobe,See you tomorrow
Sai idan,Unless
Sai kuma,Now
Sai lokacin da,Until
Sai yaushe,When
Said,Mackenzie
Saifa,Spleen
Saiti,Set-up
Saiwa,Root
Saiwar maganin maleriya,Quinine
Saje,Wiskers
Sak,Straight
Saka,Embattled
Saƙa,Put
Saka (fi’ili),Weave
Sakaci,Careless
Sakakke,Woven
Sakamako,Reward
Sakandare,Secondary
Sakar gizo,Web
Sakar zuma,Honeycomb
Sakarai,Audaciously
Sakarci,Audacious
Sakare,Idleness
Sakat,Embroiled
Sakata,Latch
Sakatare,Secretary
Sakatariya,Secretariat
Sakawa,Recompense
Sakayya,Vindictively
Sake,Rein
Sake bi,Retrace
Sake biya,Refunded
Sake bugawa,Reprint
Sake cika,Replenish
Sake dauka,Resume
Sake dawowa,Recourses
Sake duba,Review
Sake fada,Reiterate
Sake farfadowa,Resurgent
Sake fasali,Restructure
Sake fasalin,Restructured
Sake ginawa,Reconstruct
Sake gyara,Remake
Sake gyarawa,Restructuring
Sake hadu da,Rejoin
Sake hali,Convert
Sake kama,Disguise
Sake kamar,Transform
Sake maimaitawa,Recast
Sake rubutawa,Underwrite
Sake sabuntawa,Rejuvenating
Sake samu,Regain
Sake soma,Resume
Sake tabbata,Reassured
Sake tabbatarwa,Reassure
Sake tayarwa,Revival
Sake tsarawa,Reorganize
Sake tunani,Reconsideration
Sake yi,Reiterate
Sake yiwuwa,Retractable
Sakewa,Cancelling
Saki,Unleash
Saki jiki,Relax
Sakin aure,Divorce
Sakin baki ana kallo,Gawk
Sakin fuska,Release face
Sakin layi,Paragraph
Sakkwatanci,Dialect
Sakkwato,Sokoto
Sako,Weed
Saƙo,Message
Sako-sako,Lax
Sako-sako da,Loose
Salab,Tasteless
Salak,Salad
Salama,Peace
Salami,Acquit
Salat,Salad
Salati,Blessings
Salga,Cesspit
Salin-alin,Flawlessly
Salisha,Solution
Saliva kenan,Spittle
Saliyo,Sierra leone
Salla,Prayer
Sallabi,Tasteless
Sallah,Prayer
Sallahu,Prayer
Sallama,Disaffirm
Sallamar,Dismissive
Salle,Solder
Salo,Fashion
Salon waka,Melody
Salsala,Episodes
Salsalar asali,Pedigree
Sama,Heaven
Sama da,Above
Samace,Bewitch
Samamme,Available
Saman,Top
Saman-daraja,Top-notch
Saman-nauyi,Top-heavy
Samar,Production
Samar da,Provide
Samar da abu,Improvise
Samari,Young
Samarta,Youthful
Samartaka,Youth
Samarwa,Producing
Sama-sama,Superficially
Sambani,Castanet
Sambatu,Prate
Same,Found
Samfur,Specimen
Samfuri,Model
Samfurin,Model
Sami,Earn
Sami ainihin abu,Distil
Sami sauki,Relieved
Sami wasika,Hear
Sammace,Enchant
Sammaci,Subpoena
Sammai,Heavens
Sammore,Trypanosomiasis
Samo,Produce
Samowa,Or database
Samu,Derisive
Samu izni,Can
Samu riba,Profit
Samu-arziki,Get-rich
Samud,Thamûd
Samudawa,Thamoud
Samun,Gaining
Samun ilimi,Education
Samun kudin shiga,Income
Samun kyautar girma,Awarded
Samun sassauci,Cathartic
Samun shahara,Renown
Samuwa,Attainable
San,Know
San noma,Ox
Sana’a,Occupation
Sanaa,Craft
Sanaa,Craft
Sanad da,Acquaint
Sanadi,Reason
Sanadin kara,Grievance
Sananna,Stereotyped
Sananne,Stereotype
Sanannen duniya,World-famous
Sananniyar alama,Symbol
Sanar,Announced
Sanar da,Announced
Sanarwa,Declaim
Sanayya,Connections
Sanda,Stalk
Sanda mai tuntaye,Stamen
Sandar girma,Mace
Sandarewar wuya,Tetanus
Sane,Sagacity
Sangali,Shin
Sangarta,Stray
Sani,Consciousness
Saniya,Cow
Sankame,Stiffen
Sankara,Scapegoat
Sankarau,Scapegoats
Sanke,Tuck
Sannan,And
Sannu,Hallo
Sannu a hankali,Slowness
Sannu-sannu,Well-run
Sansama,Camp
Sansan,Yusoff
Sansanawa,Smell
Sansani,Camp
Sansani mai tasmahara,Fort
Sansanin soja,Fortress
Santa,Yeees
Santazara,Hegemonistic
Santsi,Slick
Santsi sosai,Slickest
Sanya,Make
Sanya alama,Ensign
Sanya fushi,Daunt
Sanya hannu,Signed
Sanya kudi,Cashing in
Sanya murna,Euphoric
Sanya shaawa,Titillatingly
Sanya tausayi,Titillate
Sanya wa,Made to
Sanyawa,Don
Sanyaya,Cool
Sanye,Wearing
Sanyi,Chill
Sanyin jiki,Coolness
Sanyin-ƙashi,Early part
Sara,Chop
Sarai,Absolutely
Sarakuna zuriyar sarki,Dynasty
Sarara,Harmattan
Sarari,Choppy
Sararin duniya,The universe
Sararin sama,Horizon
Sarauniya,Queen
Sarauta,Royalty
Sarbe,Lasso
Sare,Axed
Sarewa,Flute
Sari,Snag
Sari ka noke,Sari period
Sari-ka-noke,Sari-guerilla
Sari-ka-noke,Sari-guerilla
Sari-ka-noƙe,Sari-guerilla
Sarka,Chain
Sarkakiya,Complexity
Sarkakkiya,Undergrowth
Sarƙaƙƙiya,Slink
Sarkar adana makullai,Chain store keys
Sarkar ankwa,Anchor
Sarki,Duke
Sarrafa,Manipulating
Sarrafawa,Manipulated
Sarrafuwa da lantarki,Conductivity
Sartse da makamancinsa,Splinter
Sasanta,Reconciliation
Sasantawa,Amicable
Sashe,Region
Sashen bisa,Top
Sashen gabar teku,Bay
Sashen kalma,Syllable
Sashen kamfanin soja,Platoon
Sashen rundunar soja,Brigade
Sashen sama,Top
Sashen wani gari,Zone
Sashi,Part
Sassaka,Cackle
Sassaƙa,Sculpture
Sassanya,Chilly
Sassara,Hack
Sassauta,Loosen
Sassautawa,Easing
Sata,Steal
Satar fasaha,Piracy
Satar ji,Eavesdropping
Satar jiki,Sneak
Satar mutum,Kidnap
Sati,Week
Satifiket,Certificate
Sa-toka-sa-katsi,Grudges
Sau,Sole
Sau biyu,Twice
Sau da yawa,Often
Sau daya,Once
Sau daya-a-rayuwa,Once-in-a-lifetime
Sau uku,Thrice
Sauka,Run-down
Saukad da,Accommodate
Saukaka,Facilitate
Sauƙaƙa,Simplify
Saukaka wa,Relieve
Saukakawa,Convenience
Saukake,Eased
Sauƙaƙe,Facilitate
Sauƙaƙewa,Relieving
Saukar,Down
Saukar da,Down
Saukar wa,Down
Saukarwa,Reduction
Sauke,Drop
Saukewa daga mukami,Dissapointed
Sauki,Easy
Sauƙi,Ease
Saukin kai,Hands-down
Saukowa,Down
Saura,Fallow
Saura kadan,Near
Saurara,Listen
Saurarawa,Listen
Saurare,Listen
Saurayi,Boy
Saurayin kande,Fiancé
Sauri,Haste
Sauri -sauri,Patter
Saurin,Quicken
Saurin firgita,Skittish
Saurin fusata,Snappish
Saurin girma,Fast-growing
Saurin magana,Jabber
Saurin tafiya,Pace
Sauro,Mosquito
Sauti,Sound
Sauti kamar zuma,Humming
Sauti mai karfi,Raucous
Sauti mai rudani,Cacophony
Sautin,Phonetic
Sautu,Sounds
Saututtuka,Sounds
Sauya,Change
Sauya launin (abu),Stain
Sauyawa,Development
Sauye,Vary
Sauyi,Change
Saw,S
Sawa,Worn
Sawu,Trace
Sawun kafa,Footprint
Sawun naman daji,Spoor
Saya,Patronize
Sayad da,Sell
Sayar da,Sell
Sayarwa,Sale
Sayawa,Purchase
Sayin jiki,Debility
Scholarship,Scholarships
Scrape,Scraper
Seek,@seek
Sef,Safe
Sekan,Second
Serve,Server
Set-forth,Set forth
Seven,@seven
Sha,Drinking
Sha bamban,Differ
Sha biyu,Twelve
Sha ɗaya,Eleven
Sha gaba,Take forward
Sha iska,Exercise
Sha raba,Calf
Sha raɓa,Take share
Sha uku,Thirteen
Sha wahala,Suffered
Sha’afa,Forget
Sha’ani,Affair
Sha’anin ciniki,Trade
Sha’anin kudi,Finance
Sha’anonin gwamnati,Politics
Sha’anonin makaranku,Education
Shaawa,Selfinterested
Shaawar,Admiring
Shabta,Shabu
Shaci,Plan
Shacin layi,Wrinkles
Shadda,Brocade
Shafa,Caress
Shafa fenti,Daub
Shafa wa fenti,Paint
Shafa wa hoda,Powder
Sha-fannoni,Erudite
Shafawa,Smear
Shafe,Abrogate
Shafe-shafe,Abrasive
Shafewa,Obliterate
Shafi,Implication
Shafi (na littafi),Page
Shafi (na madinki),Thimble
Shafiya,Putty
Shafuka,Sites
Shaga,Absent-minded
Shagala,Distract
Shagalalle,Busybody
Shagalar da,Distracted
Shagali,Affair
Shagaltar da,Occupied
Shagaltarwa,Preoccupy
Shagaltuwa,Amusements
Shago,Store
Shagube,Irony
Shagulgula,Activities
Shagwaba,Spoon-fed
Shagwabawa,Spoon-feed
Shahada,Martyrdom
Shahara,Famous
Shahararre,Celebrity
Shaharre,Celebrated
Shahidi,Martyr
Shaho,Hawk
Shahsahsa,Moron
Shahuna,Shah
Shaida,Attest
Shaida (fi’ili),Testify
Shaida wa,Notify
Shaidan,Devil
Shaidana,Diabolical
Shaidanci,Diabolically
Shaidani,Rascal
Shaidar karatu,Baccalaureate
Shaidar zur,Perjury
Shaidu,Bonds
Shaka,Choke
Shaƙa,Choke
Shakata,Rest
Shaƙata,Relax
Shakatawa,Chilling
Shaƙatawa,Entanglement
Sha-kauci da danginsa,Sunbird
Shake,Choked
Shaƙewa,Choking
Shakiki,Brother
Shakiyi,Rascal
Shakiyyi,Nasty
Shakka,Doubt
Shakku,Ambivalent
Shakku a kan wani abu,Balk
Shakuwa,Hiccup
Shaƙuwa,Hiccup
Sham,Straight
Shamaki,Partition
Shamaku,Shamak
Shamakunta,Completely
Shamuwa,Stork
Shan barasa,Buzzed
Shan kashi,Defeat
Shan kwayoyin aji garau,Narcotic
Shan ti,Tea
Shanawa,Fuked
Shantali,Kettle
Shanu,Cattle
Shanyayyen,Paralyzed
Shanye,Absorb
Shanyewa,Wrip
Shanyewar barin jiki,Paralysis
Shanyewar jiki,Paralize
Shara,Garbage
Sharaɓa,Sharaba
Sharaɗa,Sharada
Sharadi,Condition
Sharaɗi,Compliance
Sharadi ko kasha,Clause
Sharar gida,Waste
Sharar gona don shuka,Tiling
Shararra,Road
Share,Cleared
Sharewa,Shun
Sharha,Commentary
Sharhi,Commentary
Shari’a,Trial
Shari’a (hukunci),Sentence
Sharia,Litigation
Sharia,Litigation
Sharri,Aspersions
Shashaheka,Shrill
Shashanci,Fudge
Shashantar da wani,Opiate
Shashasha,Insidious
Shat,Shirt
Shauki,Fad
Shauƙi,Enthusiasm
Shawara,Counsel
Shawara tunani,Consideration
Shawaraki,Oaf
Shawarar,Recommended
Shawarta,Advise
Shawo kai,Convince
Shawo kan abu,Subdued
Shawo kan matsala,Surmount
Shayar da kasa,Water-down
Shayar-da-ƙasa,Watered-down
Shayarwa,Floored
Shaye -shaye,Alcoholism
Shayi,Tea
Sha-zumami,Take-zumami
Shebur,Shovel
Sheda,Told
Shegantaka,Heckle
Shege,Bastard
Shehu,Sheikh
Shehun malamin boko,Professor
Sheka,Nest
Sheƙa,Switching
Shekar tsuntsaye,Nestle
Shekara,Year
Shekara dari,Century
Shekaran jiya,Last year
Shekarar kasafin kudi,Fiscal year
Shekarar kasafin kudi,Fiscal year
Shekarar kasafin kuɗi,Fiscal year
Shekarar tarihi,Date
Shekaru,Years
Shekaru goma,Ten years
Shekarun kuruciya,Childhood
Sheƙeƙe,Shekeke
Sheƙewa,Fan
Sheki,Gloss
Sheƙi,Gloss
Shela,Edict
Shi,Held
Shi kenan,O.k.
Shi ne,Became
Shiɓa,Otherwise
Shibta,Dictation
Shida,Six
Shidda,Six
Shiɗe,Shide
Shield,Trains
Shifta,Decreed
Shiga,Engage
Shiga a dama da kai,Dabbling
Shiga cikin rigima,Tangle
Shiga jirgin ruwa,Embark
Shiga lifidi,Sulk
Shiga rigima,Tangled
Shiga tsakani,Meddle
Shiga uku,Quandry
Shigad da,Admit
Shigar,Admitted
Shigar da,Admit
Shigar da kara,Sueing
Shigarwar,Involution
Shige,Pass
Shigo,Entre
Shigo da kaya,Importunate
Shigowa,Entry
Shika,Disown
Shiƙa,Disown
Shime,Bullshit
Shimfida,Bedspread
Shimfiɗa,Spread
Shimfiɗar jariri,Cradle
Shimfidawa,Splatter
Shimfide,Stretching
Shimfiɗe,Stretching
Shimfiɗo,Shimfido
Shin,Is
Shine,Is
Shinge,Barrier
Shingi,Remainder
Shinishini,Trace
Shinkafa,Rice
Shinƙafa,Rice
Shirayi,Porch
Shirgiya,Pile
Shiri,Scheme
Shirin bore,Subversion
Shirin doka,Bill
Shirin kife gwamnati,Subversion
Shirin mulkin kasa,Constitution
Shiriricewa,Detracting
Shiririta,Detract
Shirirta,Trash
Shiriya,Guidance
Shirka,Shirk
Shirme,Misbehave
Shirri,Disposition
Shiru,Quiet
Shirwa,Kite
Shirya,Premeditated
Shirya magana,Composition
Shiryad da,Guide
Shiryar da,Guide
Shiryawa,Pugnacity
Shiryayye,Ready
Shiryayyiya,Prepared
Shiryayyu,Guided
Shirye,Willingness
Shirye-shirye,Programs
Shisshigi,Interventions
Shiya,Construct
Shorn,Shor
Shorthand kenan,Stenography
Shown,Show
Shubuha,Ambiguity
Shubuhohi,Skepticism
Shuda,Dye
Shudi,Blue
Shuɗi,Blue
Shudin yakutu,Sapphire
Shugaba,Avatar
Shugaban jami’a,Chancellor
Shugaban jiragen teku,Admiral
Shugaban jirgin ruwa,Skipper
Shugaban kasa,President
Shugaban kirista,Pope
Shugaban makaranta,Headmaster
Shugaban masu bauta,Guru
Shugaban shawara,Chairman
Shugaban soja,Commandant
Shugabanci,Guidance
Shugabanta,Superintend
Shugabar mata,Chairwoman
Shuka,Sow
Shukakke,Sown
Shukawa,Overlooked
Shuke-shuke,Plants
Shunayya,Purple
Shuni,Indigo
Shura,Kick
Shut,Defraud
Shuwada,Blues
Shuwagabanni,Leaders
Shuwaka,Shuwak plastic
Shy,Thu
Sifa,Feature
Sifeto,Inspector
Siffa,Figurehead
Siffanta,Describe
Siffantawa,Guise
Siffar,Shape
Siffar jinjirin,Crescent
Siffar rufin kubba,Dome
Siffata,Shaping
Sifikin,Spick and span
Sifili,Zero
Sifiri,Cipher
Sifirin,Spring
Sift,Spears
Siga,Parameter
Sigari,Cigarrete
Sight,Here and after
Sihirce,Enchanting
Sihiri,Bewitch
Sikafur,Scaffold
Sikawut,Scout
Siƙe,Sike
Sikeli,Scale
Siket,Skirt
Sikolashif,Scholar
Sila,Occasion
Sili,Thread
Silifa,Slipper
Siliki,Silk
Silin,Ceiling
Silinda,Cylinder
Silke mai tare harsashi,Bulletproof
Silli,Foreskin
Silo,Drift
Siminti,Cement
Sin,China
Sinadarai,Chemicals
Sinadari,Chloroform
Sinadarin gas mai cutarwa,Radon
Sinadarin guba,Methanol
Sinadarin guba mai toka-toka,Arsenic
Sinadarin hada burodi,Pastry
Sinadarin nicotine,Nicotine
Sinanci,Chinese
Singileti,Vest
Sinima,Cinema
Sinke,Boot
Sintali,Kettle
Sintiri,Battering
Sirdi,Saddle
Sirika,In-law
Siriki,In-law
Sirinji,Syringe
Siriri,Lanky
Siririn dake,Thong
Siriyawa,Syrians
Sirri,Privy
Sisin kwabo,Halfpenny
Sito,Store
Sittin,Sixty
Siyaki,Hyena
Siyasa,Politic
Slavery kenna,Servitude
Sledge kenan,Sleigh
Sleep,
Sleep deprivation,deprivation
Sleep kenan,Slamber
Sleeping,Monster
Snad da,Inform
Snake,Top
Snake kenan,Serpent
So,Wilt
So kwarai,Adore
So kwarai,Adore
So ƙwarai,Like much
So na kwarain,Passion
Soci,Sock
Soften,Softer
Soja,Soldier
Soja mai gadi,Sentinel
Sojan gona,Impostor
Sojan haya,Mercenary
Sojan igwa,Gunner
Sojan kafa,Infantry
Sojan kasar sin,Samurai
Sojan ruwa,Wanton
Sojoji,Military
Sojojin doki,Cavalry
Sojojin haya,Mercenary
Soka,Stab
Soke,Cancelled
Soke (doka),Repeal
Sokewa,Cancel
Soki,Criticize
Soki burutsu,Ranting
Sole,Best
Soma,Begin
Some,Unconscious
Son,Keen
Son abin da ba zai yiwu ba,Pine
Son abin duniya,Materialism
Son ci gaba,Culture
Son gaskiya,Candor
Son ibada,Piety
Son ilmi,Culture
Son jimai,Lecherous
Son jimai a boye,Smolder
Son kai,Selfish
Son mata,Womanizing
Son mutane,Charity
Son rai,Hogs
Son sani,Curious
Son zuciya,Bias
Sonkai,Prejudice
Soon,Sun
Soro,House
Sosa,Scratch
Sosa rai,Irksomeness
Sosa zuciya,Evocative
Sosai,Grossly
Sosai ba ratse,Directly
Sosai na sosai,Downright
Soso,Sponge
Soso da makamancinsa,Sponge
Soso mai taushi,Padding
Sowa,Acclamation
Soya,Fry
Soyayya,Affection
Soyayyar,Romanticize
Soyayyen,Fried
Soye,Monitoring
Splendid kenan,Superb
Spurt kenan,Squirt
Su,Them
Su karangiya,Burrs
Subarwa,Subversively
Subhanallahi,Gracious
Suda da danginta,Shrike
Sude,Wipe
Suɗe,Wipe
Sufana (na makaniki),Spanner
Sufeto,Inspector
Suff,Monk
Suffice,Sufficer
Sufi,Monk
Sufuri,Hire
Sufurin kaya,Freight
Sufurin wasiku,Mail
Suits,Dresses
Sujada,Adoration
Suka,Criticizing
Suka fi,More
Sukar,Sugar
Sukari,Sugar
Suke,They
Suƙe,They
Sukukuce,Deteriorate
Sukuni,Leisure
Sukuru (na kafinta),Screw
Sukuwa,Race
Sulalawa,Sneaky
Sulalewa,Escape
Sulhu,Conciliate
Sulhunta,Reconcile
Sulhuntawa,Conciliates
Sulke,Chain
Sulu,Skein
Suma,Numb
Sumamme,Unconscious
Sumba,Kiss
Sumbata,Kiss
Sumbatta,Muzzle
Sumul,Seamless
Sumul-sumul,Smoothly
Sumunin galan daya,Pint
Sumunin mil daya,Furlong
Sumunti,Cement
Sun,They
Sun yi muzumuzu,Sheepish
Suna,Name
Suna da,And
Suna sabani,Variance
Suna yabo,Glory
Sunan,Name
Sunan iska,Pseudonym
Sunan mutum,Christian
Sunan uban mutum,Surname
Sunar,Name
Sunaye,Names
Sunayen,Names
Sunce,Loosen
Sunka,Pay dividends
Sunkuya,Stoop
Sunkuyawa,Wry
Sunyi baram-baram,Variance
Sunyi tinjim,Congestion
Supa (takin zamani),Superphosphate
Sura,Swoop
Suraci,Chapter
Surkami,Pus
Surrender,@surrender
Suruka,Mother in law
Surutai,Rave
Surutai maras kan gado,Prevaricate
Surutu,Noises
Surutu mara maana,Babble
Surutun banza,Trash
Sussuka,Thresh
Sutura,Cover-up
Suturce,Cover
Suwaita,Pullover
Suwaita (ta ulu),Sweater
Suwaita ta ulu,Jumper
Suya,Stacked
